,simulation_1
2083-10-21,4.038525083752983
2083-10-22,2.954201951687966
2083-10-23,12.788620130518336
2083-10-24,7.751581113967699
2083-10-25,5.612683010533562
2083-10-26,5.6582138189661535
2083-10-27,5.293813071598849
2083-10-28,5.216158101477495
2083-10-29,5.115045860187818
2083-10-30,5.142669485926648
2083-10-31,3.6631409554635805
2083-11-01,2.9888693453002357
2083-11-02,3.302743883975145
2083-11-03,3.6427416929163217
2083-11-04,3.986665848450795
2083-11-05,3.113635658078019
2083-11-06,5.488647013073486
2083-11-07,5.1711362504634435
2083-11-08,4.2125411203461685
2083-11-09,3.0203296272151356
2083-11-10,2.5644371531881225
2083-11-11,3.812339652853658
2083-11-12,5.865446329396548
2083-11-13,8.405656575056796
2083-11-14,5.305042898208631
2083-11-15,3.4969377837552083
2083-11-16,3.203106110162936
2083-11-17,4.2420769696906895
2083-11-18,4.269851804990853
2083-11-19,3.0444924544970964
2083-11-20,4.005748191713349
2083-11-21,5.413680708638399
2083-11-22,5.805901415220077
2083-11-23,4.137497169279011
2083-11-24,5.175851709288244
2083-11-25,3.3122733030718234
2083-11-26,2.67452676368432
2083-11-27,2.387638560639102
2083-11-28,2.231418808856733
2083-11-29,2.1815220770425374
2083-11-30,3.746182161721273
2083-12-01,2.6055594668922533
2083-12-02,2.2122642598113784
2083-12-03,2.177397543741764
2083-12-04,3.1976224110091094
2083-12-05,2.271226571753762
2083-12-06,1.943123678979302
2083-12-07,1.7866937439578003
2083-12-08,1.909506723869514
2083-12-09,3.6406814197750377
2083-12-10,2.8672869999384623
2083-12-11,3.2908247543307123
2083-12-12,3.522883207176167
2083-12-13,3.6518009664200624
2083-12-14,2.5697297388601035
2083-12-15,1.9374091559310684
2083-12-16,1.6967610151273946
2083-12-17,1.5756626752386882
2083-12-18,1.4978079358033158
2083-12-19,1.436393273025094
2083-12-20,1.381974309558401
2083-12-21,1.3311950733292837
2083-12-22,1.2828360098837415
2083-12-23,1.2364282153723654
2083-12-24,5.400762724654742
2083-12-25,4.128839539043261
2083-12-26,4.060804091797939
2083-12-27,2.6169040971920037
2083-12-28,2.477846433233885
2083-12-29,1.9197970949048564
2083-12-30,2.4750260864883704
2083-12-31,3.1704351944354547
2084-01-01,3.3172377211007644
2084-01-02,2.7509794119549236
2084-01-03,2.2589641329881296
2084-01-04,1.7127526573941492
2084-01-05,1.7727074109265832
2084-01-06,1.7821338177661699
2084-01-07,3.2942897504217177
2084-01-08,2.9609977130903338
2084-01-09,3.3521041270218395
2084-01-10,7.500785558522245
2084-01-11,9.992315577651983
2084-01-12,6.725973647001334
2084-01-13,6.299288666920703
2084-01-14,9.847952627709482
2084-01-15,7.5454144824950395
2084-01-16,4.257892691426859
2084-01-17,3.9816796052234604
2084-01-18,6.742516835332791
2084-01-19,5.11701851281814
2084-01-20,7.835643427134281
2084-01-21,7.272474422913451
2084-01-22,7.522941043776809
2084-01-23,5.953485193851863
2084-01-24,4.80940518319409
2084-01-25,5.060430577466086
2084-01-26,3.5763528156522106
2084-01-27,3.696065035258364
2084-01-28,5.226053644282926
2084-01-29,5.786684959624355
2084-01-30,4.621752627327611
2084-01-31,5.00346372984455
2084-02-01,5.9429913614008285
2084-02-02,5.549812490411667
2084-02-03,6.165796815853339
2084-02-04,5.075361522117955
2084-02-05,3.6394956843378794
2084-02-06,3.6207087908711975
2084-02-07,5.632376720643309
2084-02-08,9.145319263859314
2084-02-09,8.859380773669105
2084-02-10,9.378265301652727
2084-02-11,11.416929702152572
2084-02-12,12.84664613328917
2084-02-13,11.888426222601154
2084-02-14,9.54021561149846
2084-02-15,6.095455312698308
2084-02-16,4.767818386202711
2084-02-17,5.034521623874709
2084-02-18,5.847989724281602
2084-02-19,7.216135179290541
2084-02-20,7.373713182965201
2084-02-21,8.393793766431228
