DATE,Tmax,Tmin,prec,T,Discharge,ETP
2002-10-28,10.6,4.8,0.0,7.699999999999999,2.25604,0.8
2002-10-29,11.2,3.4,0.0,7.3,1.40941,0.8
2002-10-30,11.4,9.0,0.6,10.2,0.87998,0.9
2002-10-31,14.1,9.3,0.7,11.7,0.60789,1.002
2002-11-01,12.1,9.7,0.2,10.899999999999999,0.42296,0.9
2002-11-02,13.4,10.1,16.8,11.75,1.24433,1.002
2002-11-03,13.2,6.8,12.0,10.0,4.39039,0.9
2002-11-04,12.4,5.4,1.3,8.9,4.22123,0.7
2002-11-05,10.2,3.9,0.0,7.05,2.31765,0.7
2002-11-06,5.6,3.4,0.2,4.5,1.41464,0.598
2002-11-07,6.8,1.8,8.2,4.3,1.3807,0.598
2002-11-08,6.3,1.4,5.2,3.8499999999999996,1.21719,0.498
2002-11-09,10.2,3.0,4.3,6.6,3.00321,0.7
2002-11-10,12.1,1.2,3.8,6.6499999999999995,2.94909,0.498
2002-11-11,12.2,7.7,9.6,9.95,6.79516,0.8
2002-11-12,10.3,6.0,0.1,8.15,5.45041,0.7
2002-11-13,9.6,4.8,3.3,7.199999999999999,3.03948,0.7
2002-11-14,10.1,4.5,2.1,7.3,2.22679,0.7
2002-11-15,8.3,4.6,2.0,6.45,1.96156,0.6
2002-11-16,9.2,7.1,6.1,8.149999999999999,1.86298,0.7
2002-11-17,9.1,5.2,0.5,7.15,2.35889,0.6
2002-11-18,6.8,4.8,0.0,5.8,2.27765,0.6
2002-11-19,6.7,4.2,0.0,5.45,1.84819,0.5
2002-11-20,9.2,2.9,0.0,6.05,1.4014,0.6
2002-11-21,9.1,5.2,4.0,7.15,1.15876,0.6
2002-11-22,8.4,4.0,0.1,6.2,1.03698,0.6
2002-11-23,10.5,3.4,1.8,6.95,0.80308,0.6
2002-11-24,8.2,5.5,0.0,6.85,0.75537,0.6
2002-11-25,10.4,5.5,5.6,7.95,0.90847,0.6
2002-11-26,10.6,4.0,0.0,7.3,0.97937,0.5
2002-11-27,7.7,1.9,0.0,4.8,1.01966,0.5
2002-11-28,7.6,2.8,0.0,5.199999999999999,1.02934,0.5
2002-11-29,8.0,4.2,0.9,6.1,0.95213,0.5
2002-11-30,6.4,2.3,0.6,4.35,0.80581,0.5
2002-12-01,6.0,4.0,2.0,5.0,0.72587,0.5
2002-12-02,5.8,3.8,1.2,4.8,1.02779,0.5
2002-12-03,6.3,3.3,0.9,4.8,0.87874,0.5
2002-12-04,5.2,2.4,0.2,3.8,0.79792,0.398
2002-12-05,5.4,2.8,0.0,4.1,0.81351,0.398
2002-12-06,5.2,-0.8,0.0,2.2,0.74155,0.398
2002-12-07,0.6,-1.2,0.0,-0.3,0.6841,0.3
2002-12-08,-0.2,-3.1,0.0,-1.6500000000000001,0.60326,0.3
2002-12-09,-2.5,-6.3,0.0,-4.4,0.51734,0.202
2002-12-10,-1.3,-6.9,0.0,-4.1000000000000005,0.44719,0.202
2002-12-11,-2.5,-9.1,0.0,-5.8,0.38211,0.202
2002-12-12,-1.4,-7.9,0.0,-4.65,0.33687,0.202
2002-12-13,0.9,-2.4,0.1,-0.75,0.32377,0.3
2002-12-14,1.8,0.0,0.0,0.9,0.32571,0.3
2002-12-15,6.2,0.2,1.1,3.2,0.35882,0.398
2002-12-16,5.5,2.7,0.1,4.1,0.60624,0.398
2002-12-17,4.3,0.1,0.0,2.1999999999999997,0.46482,0.398
2002-12-18,0.1,-4.4,0.1,-2.1500000000000004,0.39219,0.3
2002-12-19,2.6,-3.6,0.1,-0.5,0.36696,0.3
